type_aliment,alim_nom_fr,"Energie, Règlement UE N° 1169/2011 (kJ/100 g)","Energie, Règlement UE N° 1169/2011 (kcal/100 g)",Eau (g/100 g),"Protéines, N x facteur de Jones (g/100 g)",Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fibres alimentaires (g/100 g),Cholestérol (mg/100 g),Calcium (mg/100 g),Fer (mg/100 g),Magnésium (mg/100 g),Potassium (mg/100 g),Zinc (mg/100 g),Vitamine D (µg/100 g),Vitamine E (mg/100 g),Vitamine C (mg/100 g)
condiment,Sauce au yaourt,-,-,"80,1","3,64","5,04","6,91","4,37","0,8","3,01",141,"0,78","21,3",230,"0,5","0,075","0,74","8,02"
other,"Fève, bouillie/cuite à l'eau",350,"82,9","77,9","8,06","9,35","0,8","0,4","3,1",0,37,"1,5",37,200,1,0,"0,28","< 0,5"
other,"Sorgho entier, cru",1470,349,"12,4","10,6","65,4","3,46","2,48","6,7",0,13,"3,36",165,363,"1,67",0,"0,5",0
other,"Eau minérale Christinen Brunnen, embouteillée, non gazeuse, moyennement minéralisée (Allemagne)",0,0,"99,9",0,0,0,0,0,0,"3,3",0,0,0,traces,0,0,0
other,"Melon miel ou melon honeydew, pulpe, cru",-,-,"91,9","0,58","4,3","0,17","4,3","0,75",0,6,"0,34","9,08",237,"0,086",0,"0,035","16,8"
other,Rillettes d'oie,1510,364,"48,9","14,9","0,99","33,4",-,traces,101,10,1,13,200,"1,6","2,53","< 0,08","19,3"
other,Rhum,1060,256,"63,5",0,0,0,0,0,0,0,"0,08",0,2,"0,043",0,0,0
condiment,"Sauce vinaigrette (50 à 75% d'huile), préemballée",-,-,"40,4","0,54","4,56","52,4","2,9","0,34","< 0,7",20,"0,64",12,110,"0,18",0,"12,9","< 0,5"
vegetable,"Tomate, coulis, appertisé (purée de tomates mi-réduite à 11%)",-,-,"88,2","2,05","8,53","0,2","5,5","2,6",-,-,-,-,-,-,-,-,-
other,"Haricot flageolet, vert, sec",-,-,"8,5","19,1","42,1","2,6",-,"23,4","< 0,7",-,"7,3",160,-,"2,3","< 0,5","0,08","< 0,5"
other,"Crêpe ou Galette aux noix de St Jacques, préemballée",705,168,-,"7,7","15,8",8,"2,8","1,2",-,-,-,-,-,-,-,-,-
other,"Giraumon (variété phoenix), pulpe, cuit à la vapeur, prélevé à la Martinique",-,-,"90,6","1,03","5,62","0,05","1,56",2,-,-,-,-,442,-,-,-,-
other,"Cantal, Salers ou Laguiole",1570,378,"39,6","25,3",traces,31,"< 0,5",0,-,772,"0,54","25,7","97,8","4,1",-,-,-
condiment,"Huile ou graisse de coco (coprah), raffinée",3700,900,0,0,0,100,0,0,0,1,"0,06",0,0,0,0,"0,3",0
meat,"Poulet, cuisse, viande, rôti/cuit au four",718,171,"66,9","24,8",0,"8,03",0,0,112,"11,6","1,2","22,6",252,"2,3","0,13","0,2",0
other,"Jus multifruit, pur jus, standard",208,"48,9","87,3","< 0,5","11,2","< 0,3","10,1","< 0,5",0,"5,4","0,08",7,140,"< 0,05",0,"0,2","11,5"
other,"Haricot beurre, surgelé, cru",-,-,"89,9",2,"4,9","0,17","2,5","2,33",0,51,"0,78",22,186,"0,26",0,-,16
other,Tempeh,660,157,"63,7","16,1","7,89","4,7","0,24","6,2",0,88,"1,7",60,310,"1,3","< 0,25","1,17","< 0,5"
other,"Jus de grenade, frais",-,-,"85,4","0,2","11,6",0,"11,6",traces,0,3,"0,2",-,200,"0,1",0,"0,55",8
other,"Prune de cythère, mûre, fruit entier, crue, prélevée à la Martinique",-,-,"86,5","0,54",-,"0,03",-,-,-,-,-,-,-,-,-,-,20
other,Boisson rafraîchissante sans alcool (aliment moyen),,,"92,1","0,11","7,42","0,042","7,26","0,025","0,06","6,22","0,066","2,5","11,3","0,02","0,0099","0,0092","1,78"
other,Brochette d'agneau,467,112,"72,8","12,6","2,54","5,1","1,57","2,6","39,6","15,8","1,34","19,5",240,"0,87",0,"0,5","11,7"
other,"Sablé au cacao ou chocolat, au praliné ou autre",-,-,"3,61","6,63","61,2","24,6","27,3",3,-,-,-,-,-,-,-,-,-
other,"Saint-Nectaire, fermier",1470,355,-,"22,3",traces,"29,8","< 0,5",0,-,-,-,-,-,-,-,-,-
condiment,Huile combinée (mélange d'huiles),3680,896,0,0,0,"99,5",0,0,0,"< 2,57","0,013","< 0,58","< 0,81","0,03",0,"63,9",0
grain,"Blé de Khorasan, cru",1440,342,"11,1","14,5","59,5","2,13","7,74","11,1",0,22,"3,77",130,403,"3,68",-,"0,61",0
other,"Salsifis, bouilli/cuit à l'eau",243,"57,9","82,8","2,63","9,29","< 0,3","2,3","4,5",-,38,"0,56",23,170,"0,49",-,"1,9","0,74"
other,"Crabe ou Tourteau, bouilli/cuit à l'eau",520,124,"72,3","19,5","1,79","4,29",0,0,"73,3",53,"1,62",55,248,"4,42",traces,"2,4","3,6"
other,"Faisselle, 0% MG",-,-,"89,9","4,47","4,44",0,"3,99",traces,"4,91",124,-,-,151,-,-,-,-
other,"Joëls (petits poissons entiers) pour friture, crus",375,"88,9",-,"17,5",traces,"2,1",0,0,-,60,"0,9",-,-,-,-,-,-
dairy,"Beurre à 39-41% MG, léger, doux",1610,391,"54,1","< 0,5","3,6","41,7","1,26",0,"84,5",-,"0,1",-,-,-,-,"1,22",-
condiment,"Sauce américaine, préemballée",-,-,"45,7","1,42","9,48","41,8","5,1","0,2",-,-,-,-,-,-,-,-,-
dairy,"Lait de chèvre, entier, cru",240,"57,4","88,7","3,22","4,01","3,2","4,01",0,"12,1",107,"0,17","12,9",-,"0,33","< 0,2","0,056","< 0,2"
other,"Eau minérale San Pellegrino, embouteillée, gazeuse, moyennement minéralisée (Italie)",0,0,"99,9",0,0,0,0,0,0,"20,8",0,"5,1","0,3",traces,0,0,0
other,"Roquette, crue",-,-,"91,7","2,58","2,1","0,66","2,05","1,6",0,160,"1,46",47,369,"0,47",0,"0,43",15
grain,Pain (aliment moyen),1170,276,30,"8,21","54,4","1,61","2,74","3,84",,"31,1","1,25","27,7",165,"0,75","0,16","0,28","0,3"
other,Pâté de lapin,1020,247,"61,5","16,3","0,00027","20,2",-,0,"74,8","12,5","3,05",26,311,-,"0,47","0,4","0,74"
dairy,"Yaourt à la grecque, sur lit de fruits",-,-,"75,2","2,31","16,3","6,3",15,"0,38","20,9",104,"0,07","8,4",110,"0,27",-,"0,25","< 0,5"
other,"Compote ou assimilé, tout type de fruits, teneur en sucre (allégée en sucres ou non, sans sucres ajoutés...) inconnue (aliment moyen)",340,"80,1","78,9","0,25","18,6","0,15","16,7","1,68",0,"7,87","0,092","5,59",132,"0,033","0,091","0,45","19,6"
other,Pané soja et blé (ne convient pas aux véganes ou végétaliens),1090,260,"47,7","14,4","16,8","13,9","1,28","4,39","5,13",50,"2,2",38,380,"0,71","< 0,25","5,22","< 0,5"
other,"Nectar multifruit - base orange, multivitaminé",-,-,"88,1","0,4","11,1","< 0,1","10,3","< 0,5",-,-,-,"6,3","85,7",-,-,-,"36,2"
other,Boisson infantile céréales lactées pour le petit déjeuner dès 8/9 mois,353,"84,2","81,3","2,36","11,6","2,8","5,57",< 3,-,127,"2,37","9,68","84,1","0,93","1,6","0,74",16
other,"Prune, crue",-,-,87,"0,66","9,92","0,29","9,92","1,5",0,"7,29","0,16",6,149,"0,096",0,"0,33","7,25"
other,"Lupin, graine crue",-,-,"10,4","36,2","21,5","9,74",-,"18,9",0,176,"4,36",198,1010,"4,75",0,-,"4,8"
other,Jambon sec Serrano,985,235,"54,1","30,4","0,76","12,3","0,36",traces,-,-,-,-,-,-,-,-,-
other,"Bouchées ou émincé au soja et blé  (ne convient pas aux véganes ou végétaliens), préemballé",775,185,"58,9","17,6","8,19",7,"2,07","5,24",< 2,74,"1,8",59,570,"0,94","< 0,25","1,75","2,86"
vegetable,"Concombre, pulpe et peau, cru","65,8","15,6",96,"0,64","2,54","0,11","1,67","0,6",0,"19,2","0,13","13,6",157,"0,095",0,"0,09","8,25"
other,"Polenta ou semoule de maïs, précuite, sèche",1480,350,"12,6","7,88",74,"1,8",-,"3,2",-,"1,55",< 1,35,144,< 1,-,< 1,-
other,Lasagnes ou cannelloni à la viande (bolognaise),562,134,"74,3","6,29","13,5","5,72","2,84","1,91","24,3","44,8","0,71",21,194,"0,78","0,11","0,91","2,57"
other,Charcuterie (aliment moyen),991,238,"58,5","19,7","1,47","17,1","0,86","0,25",77,"14,6","1,61","21,8",380,"2,23","0,51","0,4",
other,"Dessert végétal sans soja (amande, avoine, chanvre, coco, riz), aromatisé, sucré, non enrichi, préemballé",617,148,"71,7","1,66","15,8",8,"12,4","2,1",-,17,"1,3",28,200,"0,39","< 0,25","0,79","< 0,5"
other,"Édulcorant à l'aspartame, en poudre",-,-,-,"0,63","94,7","< 0,25","9,33","< 0,25",-,-,-,-,-,-,-,-,-
other,"Mulet, rôti/cuit au four",602,143,"70,5","24,8",traces,"4,86",0,0,63,31,"1,41",33,458,"1,21",0,0,"1,2"
other,"Truite arc en ciel, élevage, cuite à la vapeur",493,117,75,20,traces,"4,14",0,0,-,-,-,-,-,"0,56",-,-,-
other,"Soupe aux asperges, préemballée à réchauffer",551,133,-,"4,6","4,7","10,4","2,9",1,-,-,-,-,-,-,-,-,-
meat,"Poulet, filet, sans peau, cru, bio",497,118,"74,1","24,6",0,"1,8",traces,0,"72,4","3,6","0,32",29,350,"0,51","0,32","0,31","0,99"
other,"Chapon, viande et peau, cru",764,183,"63,2","21,8",0,"10,6",0,0,75,11,"1,09",21,217,"1,17",-,"0,32","1,7"
other,"Champignon de Paris ou champignon de couche, appertisé, égoutté","80,8","19,4","92,9","2,23","0,7","0,37",0,"2,5",0,"22,2","0,9","4,85","72,1","0,44",0,0,"6,5"
other,"Clafoutis aux fruits, préemballé",806,192,"58,5","5,22","27,2","6,51","21,4","1,88",68,84,"0,57",15,182,"0,39","< 0,5","0,43","< 0,5"
other,"Paupiette de veau, préemballée,  cuite au four",1150,276,"54,8",22,"0,48","20,5","0,3","0,9","89,5",24,"0,94",18,260,"2,3","< 0,25","< 0,08","1,62"
other,"Oignon, cru",-,-,"89,6","1,1","6,25","0,62","4,8","1,7",0,25,"0,00019",9,190,"0,23",0,"0,045","3,9"
other,"Chou vert, cuit",-,-,"93,9","1,03","3,04","0,45","2,79","2,4",0,"69,7","0,28","15,1",190,"0,22",0,"0,14","27,3"
other,Marsala aux oeufs,640,153,-,0,"12,4",0,"12,4",0,0,0,0,-,0,0,0,0,0
other,"Lasagnes ou cannellonis au fromage et aux épinards, préemballés",557,133,"68,1","6,1","11,4","6,6","3,5","1,87",-,-,-,-,-,-,-,-,-
other,"Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée",704,168,"65,5","3,79","17,4","8,3","4,61","3,3",-,37,"1,2",46,140,"0,77","< 0,25","2,67","< 0,5"
other,"Glace ou crème glacée, bâtonnet, enrobé de chocolat",1370,328,"41,3","3,42","33,4","19,8","27,9","1,23","17,5","93,8","6,33","19,2","26,4","0,52","0,13","2,36","0,27"
other,"Pizza à la viande, type bolognaise, préemballée",952,227,45,"10,3","27,2","8,03","2,94","2,16",19,144,"1,36",27,189,"1,87",0,"0,92","4,2"
other,"Courge hokkaïdo, pulpe, crue",-,-,"86,1","1,4","9,98","0,6",-,"2,6",-,"24,7","0,4","10,8",436,-,-,-,"13,9"
other,"Tripes, boeuf, crues",342,"81,5","84,2","12,1",0,"3,69",0,0,122,69,"0,59",13,67,"1,42",0,"0,09",3
dessert,"Biscuit sec au beurre, sablé, galette ou palet, au chocolat",-,-,"2,6","6,64",61,"25,3","28,9","3,19","63,7",34,7,51,270,"0,9","< 0,25","2,67","< 0,5"
other,"Jus de carotte, pur jus",-,-,"88,9","0,4","6,55","0,1","5,95","0,33",0,"13,6","0,46","8,75",210,"0,086",0,"1,16","8,5"
other,"Sandwich baguette, jambon, emmental, beurre",1200,286,"37,5","12,2","32,7","10,9","2,87","4,17","50,6",188,"0,83","23,2",152,"1,79","0,36","0,42","2,33"
other,"Eau minérale Courmayeur, embouteillée, non gazeuse, fortement minéralisée (Italie)",0,0,"99,8",0,0,0,0,0,0,"51,7",0,"6,7","0,2",traces,0,0,0
other,"Herbes de Provence, séchées",1170,283,"7,1","11,5",23,"7,2","18,5","40,1",0,1860,"69,8",304,1970,"5,47",0,"1,69",54
other,"Pizza jambon fromage champignons ou pizza royale, reine ou regina, préemballée",863,205,"54,4","9,54","25,7","6,66","3,16","2,3","15,6",155,"0,7","20,1",211,"1,16","< 0,5","1,18","4,84"
other,"Palette à la diable, préemballée",501,120,-,"13,5","2,08","6,07","1,38","1,45",-,-,1,-,-,-,-,-,-
other,Cocktail à base de rhum,-,-,65,0,"22,5","2,19","22,3","0,3",0,8,"0,21",8,71,"0,13",-,"0,02","4,9"
other,"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré, enrichi en vitamine D",-,-,-,"3,08","12,6","1,2",12,traces,-,134,-,-,-,-,"0,83",-,-
other,"Haricot mungo, sec",-,-,"9,52","24,5","47,6","1,42",-,"16,7",0,113,"7,16",228,1110,"3,02",0,"1,9","12,2"
other,Rostis ou Galette de pomme de terre,760,182,"61,4","2,38","22,5","8,3","0,2","3,3",15,18,"0,55",22,460,"0,35","< 0,25","2,92","< 0,5"
other,Cocktail sans alcool (à base de jus de fruits et de sirop),-,-,"86,4","0,5","12,8",0,"11,2",0,0,"12,8","0,1","8,31",132,"0,034",0,1,12
dairy,"Fromage de chèvre frais, au lait pasteurisé ou cru (type crottin frais ou bûchette fraîche)",-,-,"62,8","14,6","2,05","18,4","2,05",0,"71,7","94,2","0,25","11,6",159,"0,59","< 0,5","0,35",0
condiment,"Sauce pour nems à base de nuoc-mam dilué, préemballée",573,135,"62,4","1,38","31,2","< 0,5","30,9","< 0,25",-,"6,5","0,1",29,53,"< 0,05","< 0,25","< 0,08",-
other,"Crêpe ou Galette fourrée au poisson et / ou fruits de mer, préemballée",857,206,-,"8,5","14,3","12,4","2,4","1,6",-,-,-,-,-,-,-,-,-
other,"Bonite, crue",675,161,70,"22,3",traces,"8,01",0,0,-,16,"2,08",10,35,"0,68",-,-,-
other,"Salade ou chicorée frisée, crue",-,-,"92,9","1,48","2,4","0,25","0,7","2,45",0,76,"0,85","22,5",367,"0,61",0,"2,26","18,5"
other,"Fève, fraîche, surgelée",-,-,"75,8","7,5","7,95","0,22","2,15","3,6","0,83",-,-,-,-,-,-,-,-
other,"Sanglier, cru",616,147,70,"20,7",0,"7,13",0,0,63,"9,65","1,23",21,325,"3,6","0,12","0,1",0
other,Tahin ou Purée de sésame,-,-,"3,03","17,7","13,8","53,4","0,49",7,0,284,"6,69",95,437,"4,62",0,"0,25","4,2"
other,"Semoule au lait, rayon frais",511,121,"73,4","3,46","19,4","3,23",14,"0,55","10,1","83,7",< 1,11,135,"0,39","0,7","< 0,1","0,5"
other,"Agneau, épaule, maigre, crue",582,139,73,"19,6",0,"6,76",0,0,66,15,"1,66",24,274,"4,77","0,1","0,22",0
other,"Thym, frais",446,107,"65,1","5,56","10,5","1,68",-,14,0,405,"17,5",160,609,"1,81",0,"1,7",160
other,Livarot,1250,301,"48,9","24,6",traces,"22,6","< 0,2",0,"77,3",730,"0,07",26,94,"3,1","< 0,25","0,57","< 0,5"
other,"Focaccia, garnie",979,233,-,8,"29,5","8,75","4,25","2,25",-,-,-,-,-,-,-,-,-
other,"Chips de giraumon (variété locale), pulpe, prélevé à la Martinique",-,-,-,-,"12,3",-,"0,44","8,4",-,-,-,-,2400,-,-,-,-
dairy,Fromage de chèvre bûche,1180,285,"54,8","18,8",traces,"23,3",traces,0,"95,9",107,"0,22","12,7",167,"0,61","< 0,5","0,29",-
other,"Artichaut, appertisé, égoutté",-,-,"89,9","1,5","6,5","0,2","1,5",3,-,-,-,-,-,-,-,-,-
other,"Pastilla au poulet, préemballée",910,218,"54,8","12,3","14,1","12,2","3,85","1,5",-,-,-,-,-,-,-,-,-
other,"Cervelle, porc, braisée",722,174,"73,8","12,4","< 0,05","13,8",-,0,2430,14,"1,5",15,230,"1,2","< 0,5","0,68",14
other,"Eau minérale St-Alban, embouteillée, gazeuse, moyennement minéralisée (St-Alban, 42)",0,0,"99,9",0,0,0,0,0,0,18,"0,002",5,"2,8","0,001",0,0,0
other,"Poisson blanc, cuit (aliment moyen)",454,107,74,22,0,"2,18",0,0,"63,6","30,3","0,38",27,296,"0,58","1,59","0,71","0,45"
other,Cookie aux pépites de chocolat,-,-,"3,46","6,47",59,"25,9","31,5","3,38","17,3","30,5","3,43","70,2",270,"1,2","< 0,5","2,6",< 1
other,"Pizza, sauce garniture pour",161,"38,5","87,4","2,12","3,2","0,73","3,2","4,17",0,50,"0,9",18,908,-,0,"2,9",7
other,Chausson aux pommes,1410,338,"36,2","4,17","36,6","18,7","11,2","3,1","45,6",15,"0,44",10,106,"0,3","0,32","1,21","5,36"
other,"Soupe au pistou, préemballée à réchauffer",134,"31,9",-,2,"4,1","0,5","< 0,25","1,5",-,-,-,-,-,-,-,-,-
dairy,"Fromage blanc ou spécialité laitière, aux fruits, sucré, 0% MG",-,-,-,"7,93","13,5",traces,12,0,-,-,-,-,-,-,-,-,-
other,"Chicorée rouge, crue",-,-,94,"1,4","1,6","0,1","1,6",3,0,36,"0,3",-,180,"0,2",0,"0,57",10
other,"Soupe à la volaille et aux vermicelles, préemballée à réchauffer",129,"30,8","93,8","1,3","3,86",1,"0,77","0,56",5,"7,96","0,14","7,93","30,5","0,1",0,"0,03",-
other,"Risotto, aux fromages, préemballé",822,195,-,"5,65","30,9","5,16","0,58","0,7",-,-,-,-,-,-,-,-,-
other,"Corned-beef, appertisé",787,188,"63,4","23,1","< 0,1","10,5","< 0,2","< 1,5","75,5","14,5","2,24",14,244,"3,57","0,2","0,15",0
other,"Jus de grenade, pur jus",-,-,86,"0,15",13,"0,29","12,7","0,1",0,11,"0,1",7,214,"0,09",0,"0,38","0,1"
condiment,"Sauce au fromage pour risotto ou pâtes, préemballée",-,-,"82,9","3,11","4,24","9,53","0,68","1,4",-,-,-,-,-,-,-,-,-
other,"Sandwich baguette, dinde, crudités (tomate, salade), mayonnaise",1070,255,"44,9","12,4","30,6","8,82","2,24","1,86","28,5","23,3","0,99","19,8",174,"0,97","0,05","3,14","3,11"
other,Pâté breton,1500,363,50,11,"2,88",34,1,"0,5",-,-,-,-,-,-,-,-,-
other,"Couscous de légumes, préemballé",453,108,"71,1","4,32","16,4","2,25","2,54","2,24",-,-,-,-,-,-,-,-,-
other,"Dorade royale, ou daurade ou vraie daurade, crue, sauvage",393,"93,2","78,6","18,1",traces,"2,31",0,0,55,"33,3","1,6",19,439,"0,76","7,15","0,85",1
other,"Croissant au beurre, artisanal",1760,420,"21,1","6,61","45,7","22,6","7,3","2,5","76,6",22,"0,7",15,120,"0,53","< 0,25","0,6","0,71"
other,"Foie, volaille, cuit",687,164,"65,4","25,8",0,"6,4",-,0,478,"6,6",12,24,340,"3,9","1,29","1,51","< 0,5"
other,"Cheval, entrecôte, crue",499,118,-,"22,1",traces,"3,34",-,0,-,-,"2,84",-,-,"2,51",-,-,-
vegetable,"Aubergine, cuite",-,-,"88,6","1,33","4,17","0,28","3,41","4,3",0,"20,1","0,25",15,123,"0,098",0,"0,41","1,3"
other,"Sandwich grec ou Kebab, baguette, crudités",1030,246,"48,1",15,"23,6","9,8","2,6",2,32,"22,1","2,1","22,4",263,"2,05",0,"0,2",2
condiment,Huile de coton,3700,900,0,0,0,100,0,0,0,0,0,0,0,0,0,"35,3",0
other,"Mirabelle, crue",325,"76,9","78,1","0,63",18,"< 0,5","13,3","2,2",-,11,"0,13","8,2",240,"0,11",-,"1,52","5,29"
other,"Sardine, crue",683,163,64,"19,5",traces,"9,48",0,0,"78,9","57,5","1,67",36,584,"1,5",14,"0,28","2,5"
other,"Merguez, pur boeuf, crue",-,-,"39,8",11,-,"43,5",-,0,-,-,-,-,-,-,-,-,-
dairy,"Beurre à 80% MG, salé",3010,732,"15,7","0,5","0,68","80,8",traces,0,245,24,"0,23","7,4",35,"0,17","< 0,25","1,77","< 0,5"
other,"Maquereau, filet grillé, appertisé, nature, égoutté",1020,246,"59,9","19,7","0,55","18,3",-,0,"64,8",38,"1,1",23,200,"0,8","4,56","1,23","< 0,5"
other,"Seigle entier, cru",1410,334,"10,7","9,83",61,"1,97","0,98",15,0,"26,4","3,32",104,469,"2,78",0,1,0
other,"Saucisse végétale au blé ou seitan, préemballé",1050,250,"47,7","27,1","7,53","10,5","1,74","4,6",-,37,"1,7",32,200,"1,8","< 0,25","5,92","< 0,5"
other,"Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts, préemballée",702,168,65,"3,2","16,2","9,6","1,7","2,1","10,5",26,"0,49",20,390,"0,45","< 0,25","1,49","3,04"
other,"Vanille, gousse",-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0
other,"Soupe aux légumes variés, préemballée à réchauffer",165,"39,4","90,2","0,76","5,05","1,56","1,72","1,1","3,7",14,"0,14","5,3",110,"0,11",0,"0,62","5,75"
grain,"Pain au lait aux pépites de chocolat, préemballé",1550,369,"21,8","8,51",52,"13,5",18,"2,72","49,2",60,2,28,180,"0,9","< 0,25","2,3","< 0,5"
other,"Légumes pour couscous, surgelés, crus",195,"46,5",-,"2,05","6,75","0,7","3,05","2,53",-,"35,6","0,8",-,-,-,-,-,"27,4"
other,Barre glacée chocolatée,1500,359,"35,2","5,12","35,8","21,4","27,7","1,31","8,8",145,"1,1","40,3",251,"1,1","< 0,5","1,5",< 1
other,"Brick garni (garniture : crevettes, légumes, volaille, viande, poisson, etc.), fait maison, cuit",781,187,"65,1","12,2","8,48","11,5","0,72","0,59","85,3","32,8","1,03","21,5",183,"0,9","0,51","4,95","2,93"
other,"Cervelle, veau, crue",488,117,"79,8","10,3","0,5","8,21",-,0,1590,10,"2,13",14,315,"1,11",-,-,14
grain,"Pâtes sèches, aux oeufs, crues",1610,381,"9,01",14,68,"4,72","2,19","3,15",84,35,"1,9",58,244,"1,92","0,3","0,37",0
other,Rillettes pur porc,1710,414,44,"16,7","0,13","38,3","< 0,2","< 0,5","84,1","6,9","0,91",15,240,"2,3","0,48","1,13","< 0,5"
other,"Coeur, veau, cru",446,106,"77,3","16,1","1,8","3,84",-,0,127,"4,71","3,92",20,261,"1,44",1,"0,8","6,5"
grain,"Riz complet, cru",1480,350,"12,6","7,02","71,4","2,8","0,66",5,0,"11,1",< 1,118,219,2,0,"0,2",0
condiment,Sauce (aliment moyen),,,63,"1,3","6,04","25,7","4,57","0,87","12,5","26,8","0,42","12,8",162,"0,17","0,87","7,26","3,55"
dairy,"Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, à la crème",-,-,"77,6","3,08","13,4","5,45","12,4","0,083",19,105,"0,04","9,2",120,"0,38","0,75","0,15","< 0,5"
other,"Muesli croustillant, au quinoa",-,-,"3,35","9,92","71,2","10,7",-,"3,4",-,-,-,-,-,-,-,-,-
condiment,Huile d'argan ou d'argane,3650,889,-,0,0,"98,7",0,0,-,-,-,-,-,-,-,"3,6",-
vegetable,"Brocoli, purée",-,-,"91,7","2,5","2,75","0,38","1,65","2,39",-,87,"0,9",-,-,-,-,-,90
meat,"Boeuf, à bourguignon ou pot-au-feu, cru",686,164,-,24,0,"7,5",0,0,-,18,"2,1",-,-,-,-,-,-
meat,"Boeuf, côte, crue",1040,251,-,"18,7",traces,"19,6",-,0,-,11,"2,8",18,355,-,-,-,0
other,"Pizza au poulet, préemballée",903,215,"48,3","9,95","27,5","6,68","2,96","2,32",-,-,-,-,-,-,-,-,-
other,"Boudin noir, à cuire",1300,313,56,"12,2","4,5","27,1","1,12","1,42","82,5","22,4","17,4","6,84",162,"0,37","< 0,25","0,12",-
other,"Jambon cuit, supérieur, à teneur réduite en sel",509,121,-,"20,8","0,74","3,83","0,74","< 0,42",-,-,-,-,-,-,-,-,-
other,"Confiture ou Marmelade, tout type de fruits (aliment moyen)",1060,249,39,"0,29","60,2","0,31",59,"0,91",,"11,5","0,17","5,85","89,3","0,05",,"0,44","9,28"
other,"Tournesol, graine, grillé, salé",-,-,"1,2","19,3","15,1","49,8","2,73",9,0,70,"3,8",129,850,"5,29",0,"26,1","1,4"
meat,"Mouton, viande, crue",576,137,"74,2","20,6",traces,"6,11",-,0,-,"9,5","2,29","24,6",279,"3,6",-,-,-
meat,"Boeuf, tende de tranche, rôtie/cuite au four",618,146,"67,4","29,8",traces,"3,03",-,0,-,-,"2,93",-,-,"4,48",-,-,-
grain,Riz soufflé chocolaté (non enrichi en vitamines et minéraux),1640,388,"2,8","6,01","84,2","2,2","32,5","3,06","1,41",26,"3,3",61,370,"1,2","< 0,25","0,36","< 0,5"
condiment,Sauce à la crème aux herbes,-,-,86,"1,09","5,5","5,49","0,74","0,4","12,7",27,"0,59",6,"48,5","0,14","0,01","0,58","2,2"
other,"Andouille, réchauffée à la poêle",1120,271,"55,5","22,5",0,20,"< 0,2",< 1,330,18,"2,4","12,2",104,"3,4","< 0,5","0,48",< 1
grain,Pain panini,1150,272,"30,9","7,66","55,9","1,1","2,3","2,6",3,22,"0,9",29,148,-,traces,"0,4",-
other,"Pois cassé, sec",-,-,"8,33","22,8",52,"1,44","2,75","15,8",0,"37,4","5,16","65,5",969,"3,68",0,"0,09","1,4"
other,"Chou chinois ou pak-choi ou pé-tsai, cru",-,-,"95,2","1,38","1,65","0,2","1,18","1,05",0,"86,4","0,68","17,5",249,"0,17",0,"0,11","40,3"
fruit,"Pomme de terre, purée à base de flocons, reconstituée avec lait entier, matière grasse",409,"97,9","77,8","1,92","10,2","5,18","1,68","1,47","6,67","38,7","0,19","16,3",184,"0,2","0,3","0,33","8,63"
other,"Litchi, pulpe, cru",344,81,"80,5","1,13","16,1","< 0,5","15,7",2,0,"3,6","0,26",18,200,"0,23",0,"< 0,08","19,2"
seafood,"Thon, rôti/cuit au four",576,136,"66,9","29,9",traces,"1,83",0,0,"43,5","18,7","1,8",46,445,"0,44","1,83","0,32",-
meat,"Poulet, poitrine, viande et peau, rôti/cuit au four",794,189,"62,4","29,8",0,"7,78",0,0,84,14,"1,07",27,245,"1,02","0,1","0,27",0
other,"Poudre cacaotée ou au chocolat pour boisson, sucrée",1600,379,"1,67","6,65","75,6","3,29","67,9","10,5",0,116,13,166,605,"0,7",0,"0,1",0
other,"Brochet, rôti/cuit au four",425,100,"74,7","23,1",traces,"0,88",0,0,50,73,"0,71",40,331,"0,77","2,7",-,"3,8"
other,"Hachis parmentier à la viande, préemballé",577,138,"73,6","5,99","9,39","8,22","1,47","1,43",20,"59,6","0,71","17,5",184,"1,2","0,1","0,2","0,65"
other,"Igname jaune, pulpe, cuit à la vapeur, prélevé à la Martinique",-,-,"66,6","2,04","27,6","0,37",-,"2,67",-,-,-,-,349,-,-,"0,27","0,81"
other,"Bière ""de spécialités"" ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable)",-,-,"91,3","0,63","3,2",0,-,0,0,"4,9","0,012","7,9","41,6","0,018",0,0,0
other,"Haché à base de boeuf ou Préparation de viande hachée de boeuf, 15% MG, cru, prémeballé",-,-,"62,5","15,8","2,48","13,6","0,57","1,55",-,-,"2,5",-,-,-,-,-,-
other,"Chadèque, pulpe, cru, prélevé à la Martinique",-,-,"90,6","0,48",-,"0,3",-,-,-,-,-,-,-,-,-,-,"44,2"
vegetable,"Navet, bouilli/cuit à l'eau","88,3","21,1","94,2","0,75","3,23","< 0,3","2,8","2,1",-,32,"0,08","5,8",170,"0,06",-,"< 0,08","7,25"
grain,Farine de blé tendre ou froment T150,1450,342,"10,7","11,4","64,9","1,52","1,77","10,2",-,"31,9","2,7","85,1",407,"2,5",-,"1,04","< 0,5"
